loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,clv,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month,total_flights,total_distance,total_points_accumulated,total_points_redeemed,total_redeemed_dollars,active_months,first_activity,last_activity,recency_months,avg_flights_per_month,points_redemption_ratio,distance_per_flight,official_churn,behavioral_churn,churn,salary_imputed,tenure_months,cluster,customer_segment
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,3839.14,Standard,2016,2,,,37,54525,54525.0,1418,256,24,2017-01-01,2018-12-01,0.0,1.5416666666666667,0.0260064190738193,1473.6486486486488,0,0,0,83236.0,34,3,Loyal Customers
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Divorced,Star,3839.61,Standard,2016,3,,,58,77487,77487.0,1971,356,24,2017-01-01,2018-12-01,0.0,2.4166666666666665,0.0254365248364241,1335.9827586206898,0,0,0,73455.0,33,3,Loyal Customers
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,3839.75,Standard,2014,7,2018.0,1.0,18,24803,24803.0,374,67,24,2017-01-01,2018-12-01,0.0,0.75,0.0150788211103495,1377.9444444444443,1,0,1,73455.0,53,1,At-Risk Customers
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,,Single,Star,3839.75,Standard,2013,2,,,35,48432,48432.0,1291,233,24,2017-01-01,2018-12-01,0.0,1.4583333333333333,0.0266559299636603,1383.7714285714285,0,0,0,73455.0,70,3,Loyal Customers
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,3842.79,Standard,2014,10,,,37,55515,55515.0,0,0,24,2017-01-01,2018-12-01,0.0,1.5416666666666667,0.0,1500.4054054054054,0,0,0,103495.0,50,3,Loyal Customers
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,3844.57,Standard,2012,5,,,86,138596,138596.0,1222,220,24,2017-01-01,2018-12-01,0.0,3.583333333333333,0.0088169932754192,1611.5813953488373,0,0,0,51124.0,79,3,Loyal Customers
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Single,Star,3857.95,Standard,2014,6,,,40,61007,61007.0,1583,285,24,2017-01-01,2018-12-01,0.0,1.6666666666666667,0.0259478420509121,1525.175,0,0,0,73455.0,54,3,Loyal Customers
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,12,,,41,72849,72849.0,733,132,24,2017-01-01,2018-12-01,0.0,1.7083333333333333,0.010061908880012,1776.8048780487804,0,0,0,100159.0,24,3,Loyal Customers
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,3861.49,Standard,2015,5,,,27,48968,48968.0,1516,274,24,2017-01-01,2018-12-01,0.0,1.125,0.030958993628492,1813.6296296296296,0,0,0,100159.0,43,3,Loyal Customers
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,3861.49,Standard,2016,10,,,44,55849,55849.0,1683,303,24,2017-01-01,2018-12-01,0.0,1.8333333333333333,0.0301348278393525,1269.2954545454545,0,0,0,100159.0,26,3,Loyal Customers
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,,51,81965,81965.0,499,90,24,2017-01-01,2018-12-01,0.0,2.125,0.0060879643750381,1607.156862745098,0,0,0,66444.0,45,3,Loyal Customers
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,,,31,50773,50773.0,1599,288,24,2017-01-01,2018-12-01,0.0,1.2916666666666667,0.0314931164201445,1637.8387096774193,0,0,0,49618.0,30,3,Loyal Customers
611765,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,,,26,38476,38476.0,436,78,24,2017-01-01,2018-12-01,0.0,1.0833333333333333,0.0113317392660359,1479.8461538461538,0,0,0,90175.0,11,1,At-Risk Customers
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Single,Star,3871.07,Standard,2013,10,,,63,86527,86527.0,1190,214,24,2017-01-01,2018-12-01,0.0,2.625,0.0137529326106302,1373.4444444444443,0,0,0,73455.0,62,3,Loyal Customers
286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Single,Star,3872.22,Standard,2016,11,,,26,35769,35769.0,2123,381,24,2017-01-01,2018-12-01,0.0,1.0833333333333333,0.0593530710950823,1375.7307692307693,0,0,0,73455.0,25,3,Loyal Customers
205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,,,35,51158,51158.0,1233,222,24,2017-01-01,2018-12-01,0.0,1.4583333333333333,0.0241018022596661,1461.6571428571428,0,0,0,128118.0,28,3,Loyal Customers
735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,,,29,44741,44741.0,1053,189,24,2017-01-01,2018-12-01,0.0,1.2083333333333333,0.0235354596455153,1542.7931034482758,0,0,0,128118.0,24,3,Loyal Customers
438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,,,52,67379,67379.0,499,90,24,2017-01-01,2018-12-01,0.0,2.1666666666666665,0.0074058682972439,1295.75,0,0,0,94092.0,62,3,Loyal Customers
172755,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,5303.76,2018 Promotion,2018,3,,,40,43352,65028.0,765,138,11,2018-02-01,2018-12-01,0.0,3.636363636363636,0.0117641631297287,1083.8,0,0,0,73455.0,9,0,Frequent Travelers
354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,,Married,Star,3885.46,Standard,2014,10,2018.0,1.0,20,36872,36872.0,0,0,24,2017-01-01,2018-12-01,0.0,0.8333333333333334,0.0,1843.6,1,0,1,73455.0,50,3,Loyal Customers
413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,3885.46,Standard,2015,7,,,36,60555,60555.0,1965,353,24,2017-01-01,2018-12-01,0.0,1.5,0.0324498389893485,1682.0833333333333,0,0,0,73455.0,41,3,Loyal Customers
552965,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Married,Star,3885.46,Standard,2018,11,,,3,6783,6783.0,0,0,24,2017-01-01,2018-12-01,0.0,0.125,0.0,2261.0,0,0,0,73455.0,1,1,At-Risk Customers
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Star,3885.46,Standard,2016,3,,,33,47139,47139.0,1506,271,24,2017-01-01,2018-12-01,0.0,1.375,0.03194806847833,1428.4545454545455,0,0,0,73455.0,33,3,Loyal Customers
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Single,Star,3886.5,Standard,2014,5,,,29,38374,38374.0,346,62,24,2017-01-01,2018-12-01,0.0,1.2083333333333333,0.0090165216031688,1323.2413793103449,0,0,0,73455.0,55,3,Loyal Customers
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,,,44,66909,66909.0,1752,315,24,2017-01-01,2018-12-01,0.0,1.8333333333333333,0.0261848181858942,1520.659090909091,0,0,0,89062.0,31,3,Loyal Customers
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,,,32,52110,52110.0,0,0,24,2017-01-01,2018-12-01,0.0,1.3333333333333333,0.0,1628.4375,0,0,0,102400.0,42,3,Loyal Customers
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,,,48,66723,66723.0,911,164,24,2017-01-01,2018-12-01,0.0,2.0,0.0136534628239137,1390.0625,0,0,0,98629.0,26,3,Loyal Customers
557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,,,22,31868,31868.0,1340,241,24,2017-01-01,2018-12-01,0.0,0.9166666666666666,0.0420484498556545,1448.5454545454545,0,0,0,98629.0,14,1,At-Risk Customers
